"","PC_Lu70_2.3_En.degree","PC_Lu70_2.3_En.betweenness","PC_Lu70_2.3_En.closeness","PC_Lu70_2.3_En.eigenCentrality","PC_Lu70_2.3_En.nNeg","PC_Lu70_2.3_En.nPos","PC_Lu70_2.3_En.mutualInfo","PC_Lu70_2.3_En.variance","PC_Lu70_2.3_En.partialVar","PC_LuNB_2.3_En.degree","PC_LuNB_2.3_En.betweenness","PC_LuNB_2.3_En.closeness","PC_LuNB_2.3_En.eigenCentrality","PC_LuNB_2.3_En.nNeg","PC_LuNB_2.3_En.nPos","PC_LuNB_2.3_En.mutualInfo","PC_LuNB_2.3_En.variance","PC_LuNB_2.3_En.partialVar"
"ENSSSCG00000000906",46,0.0734126984126984,0.0135135135135135,0.800783828398497,30,16,0.00317281694660612,1.00317785565786,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,38,22,0.013770058812809,1.01386530274204,1
"ENSSSCG00000001906",58,2.66511964082775,0.0161290322580645,0.989433228738773,24,34,0.00406471848719923,1.0040729906596,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,38,22,0.0137700588128095,1.01386530274204,1
"ENSSSCG00000002882",59,3.51266188353128,0.0163934426229508,1,23,36,0.00418874749189056,1.00419753255652,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,28,29,0.0196398435302465,1.01983397407229,1
"ENSSSCG00000003212",59,3.51266188353128,0.0163934426229508,0.999999999999999,23,36,0.00418874749189076,1.00419753255652,1,60,1.66788798216762,0.0166666666666667,0.999999999999998,23,37,0.0137700588128036,1.01386530274203,1
"ENSSSCG00000003225",59,3.51266188353128,0.0163934426229508,1,23,36,0.00418874749189055,1.00419753255652,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,38,21,0.0199454176569686,1.02014565656694,1
"ENSSSCG00000003482",58,2.66511964082775,0.0161290322580645,0.989433228738773,35,23,0.0040647184871922,1.00407299065959,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588128117,1.01386530274204,1
"ENSSSCG00000004119",59,3.51266188353128,0.0163934426229508,1,23,36,0.00418874749189584,1.00419753255652,1,59,1.23119547570767,0.0163934426229508,0.987656670064454,38,21,0.0199454176569753,1.02014565656694,1
"ENSSSCG00000004760",59,3.51266188353128,0.0163934426229508,0.999999999999999,23,36,0.00418874749189585,1.00419753255652,1,43,0,0.012987012987013,0.727554274193874,14,29,0.0112642234355342,1.01132790367853,1
"ENSSSCG00000006399",59,3.51266188353128,0.0163934426229508,1,23,36,0.00418874749189585,1.00419753255652,1,43,0.0548821548821549,0.012987012987013,0.728877833482737,26,17,0.0112188344744951,1.01128200159747,1
"ENSSSCG00000006579",59,3.51266188353128,0.0163934426229508,1,23,36,0.00418874749189604,1.00419753255652,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588128157,1.01386530274203,1
"ENSSSCG00000007508",57,2.61392916463727,0.0158730158730159,0.97211876288622,24,33,0.00405142705082584,1.004059645176,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588128159,1.01386530274203,1
"ENSSSCG00000007968",54,2.19524624121398,0.0151515151515152,0.924803000283465,31,23,0.00322180242558842,1.00322699800923,1,60,1.66788798216762,0.0166666666666667,1,23,37,0.0137700588128159,1.01386530274203,1
"ENSSSCG00000008574",58,2.66511964082775,0.0161290322580645,0.989433228738774,35,23,0.00406471848720141,1.00407299065959,1,57,0.380463550230992,0.0158730158730159,0.963037252445388,30,27,0.0196398435302623,1.01983397407228,1
"ENSSSCG00000009209",58,2.66511964082775,0.0161290322580645,0.989433228738773,24,34,0.0040647184872014,1.00407299065959,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,22,37,0.0199454176569754,1.02014565656694,1
"ENSSSCG00000009558",59,3.51266188353128,0.0163934426229508,0.999999999999999,23,36,0.00418874749189624,1.00419753255652,1,57,0.380463550230992,0.0158730158730159,0.963037252445388,30,27,0.0196398435302617,1.01983397407228,1
"ENSSSCG00000009616",54,2.19524624121398,0.0151515151515152,0.924803000283465,24,30,0.00322180242558312,1.00322699800923,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,28,29,0.0196398435302617,1.01983397407228,1
"ENSSSCG00000012909",54,2.19524624121398,0.0151515151515152,0.924803000283466,31,23,0.00322180242558276,1.00322699800923,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,22,37,0.0199454176569744,1.02014565656694,1
"ENSSSCG00000012993",59,3.51266188353128,0.0163934426229508,1,37,22,0.00418874749189604,1.00419753255652,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,38,22,0.0137700588128118,1.01386530274204,1
"ENSSSCG00000013604",58,2.66511964082775,0.0161290322580645,0.989433228738774,35,23,0.00406471848720082,1.00407299065959,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,28,29,0.0196398435302652,1.01983397407228,1
"ENSSSCG00000014110",46,0.0734126984126984,0.0135135135135135,0.800783828398497,30,16,0.00317281694662294,1.00317785565786,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588128048,1.01386530274203,1
"ENSSSCG00000014818",58,2.66511964082775,0.0161290322580645,0.989433228738773,24,34,0.00406471848719905,1.0040729906596,1,57,0.380463550230992,0.0158730158730159,0.963037252445388,30,27,0.0196398435302602,1.01983397407229,1
"ENSSSCG00000015049",59,3.51266188353128,0.0163934426229508,0.999999999999999,23,36,0.00418874749188683,1.00419753255652,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588128036,1.01386530274203,1
"ENSSSCG00000015091",58,2.66511964082775,0.0161290322580645,0.989433228738774,24,34,0.00406471848719163,1.00407299065959,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,38,21,0.0199454176569719,1.02014565656694,1
"ENSSSCG00000015126",57,2.5738497995579,0.0158730158730159,0.972722677354875,34,23,0.00404957418013403,1.00405778478507,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,22,37,0.0199454176569708,1.02014565656694,1
"ENSSSCG00000016504",58,2.66511964082775,0.0161290322580645,0.989433228738773,24,34,0.00406471848718634,1.00407299065959,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,30,27,0.0196398435302578,1.01983397407229,1
"ENSSSCG00000016728",54,2.19524624121398,0.0151515151515152,0.924803000283466,24,30,0.00322180242555886,1.00322699800923,1,60,1.66788798216762,0.0166666666666667,1,23,37,0.0137700588127996,1.01386530274203,1
"ENSSSCG00000017433",56,3.26355794087895,0.015625,0.948593137657427,20,36,0.00414610793767452,1.00415471493426,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,30,27,0.0196398435302514,1.01983397407229,1
"ENSSSCG00000017458",58,2.66511964082775,0.0161290322580645,0.989433228738773,35,23,0.00406471848718616,1.0040729906596,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588127947,1.01386530274203,1
"ENSSSCG00000017490",46,0.0734126984126984,0.0135135135135135,0.800783828398497,30,16,0.00317281694660593,1.00317785565786,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,22,37,0.019945417656971,1.02014565656694,1
"ENSSSCG00000023018",59,3.51266188353128,0.0163934426229508,1,23,36,0.0041887474918829,1.00419753255652,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588127976,1.01386530274204,1
"ENSSSCG00000024158",33,0,0.0114942528735632,0.56794788625107,23,10,0.00252824213143471,1.00253144083071,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,38,22,0.0137700588127976,1.01386530274203,1
"ENSSSCG00000024892",58,2.66511964082775,0.0161290322580645,0.989433228738773,24,34,0.00406471848718731,1.00407299065959,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588127982,1.01386530274203,1
"ENSSSCG00000024917",59,3.51266188353128,0.0163934426229508,0.999999999999999,37,22,0.00418874749188211,1.00419753255652,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,22,37,0.0199454176569711,1.02014565656694,1
"ENSSSCG00000025128",33,0,0.0114942528735632,0.56794788625107,23,10,0.00252824213144057,1.00253144083071,1,43,0,0.012987012987013,0.727554274193874,14,29,0.0112642234355189,1.01132790367853,1
"ENSSSCG00000026345",58,2.66511964082775,0.0161290322580645,0.989433228738773,35,23,0.00406471848718458,1.00407299065959,1,60,1.66788798216762,0.0166666666666667,1,38,22,0.0137700588127964,1.01386530274203,1
"ENSSSCG00000026427",59,3.51266188353128,0.0163934426229508,0.999999999999999,37,22,0.00418874749187802,1.00419753255652,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,30,27,0.0196398435302543,1.01983397407229,1
"ENSSSCG00000026680",58,2.66511964082775,0.0161290322580645,0.989433228738772,24,34,0.00406471848718302,1.0040729906596,1,59,1.23119547570767,0.0163934426229508,0.987656670064454,22,37,0.0199454176569713,1.02014565656694,1
"ENSSSCG00000029503",57,2.5738497995579,0.0158730158730159,0.972722677354875,34,23,0.00404957418013009,1.00405778478507,1,60,1.66788798216762,0.0166666666666667,1,38,22,0.0137700588127954,1.01386530274203,1
"ENSSSCG00000029752",54,2.19524624121398,0.0151515151515152,0.924803000283465,24,30,0.00322180242556533,1.00322699800923,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588127957,1.01386530274203,1
"ENSSSCG00000029763",58,2.66511964082775,0.0161290322580645,0.989433228738773,24,34,0.00406471848718458,1.00407299065959,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588127957,1.01386530274204,1
"ENSSSCG00000029960",58,2.66511964082775,0.0161290322580645,0.989433228738773,24,34,0.00406471848718438,1.00407299065959,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,38,22,0.0137700588127955,1.01386530274203,1
"ENSSSCG00000030561",57,2.5738497995579,0.0158730158730159,0.972722677354875,34,23,0.00404957418013147,1.00405778478506,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,28,29,0.0196398435302519,1.01983397407228,1
"ENSSSCG00000030903",59,3.51266188353128,0.0163934426229508,1,23,36,0.00418874749187664,1.00419753255652,1,57,0.380463550230992,0.0158730158730159,0.963037252445388,28,29,0.0196398435302513,1.01983397407229,1
"ENSSSCG00000031345",59,3.51266188353128,0.0163934426229508,0.999999999999999,23,36,0.00418874749187606,1.00419753255652,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588127957,1.01386530274203,1
"ENSSSCG00000032407",54,2.19524624121398,0.0151515151515152,0.924803000283465,24,30,0.00322180242556258,1.00322699800923,1,43,0,0.012987012987013,0.727554274193874,30,13,0.0112642234355225,1.01132790367853,1
"ENSSSCG00000034211",46,0.0734126984126984,0.0135135135135135,0.800783828398497,30,16,0.00317281694660926,1.00317785565786,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,30,27,0.0196398435302494,1.01983397407229,1
"ENSSSCG00000035445",46,0.0734126984126984,0.0135135135135135,0.800783828398497,17,29,0.00317281694660945,1.00317785565786,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588127924,1.01386530274203,1
"ENSSSCG00000035594",59,3.51266188353128,0.0163934426229508,1,23,36,0.00418874749187469,1.00419753255652,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,22,37,0.0199454176569671,1.02014565656694,1
"ENSSSCG00000035785",54,2.19524624121398,0.0151515151515152,0.924803000283465,24,30,0.00322180242555928,1.00322699800923,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,38,21,0.019945417656966,1.02014565656694,1
"ENSSSCG00000036403",54,2.19524624121398,0.0151515151515152,0.924803000283465,24,30,0.00322180242555947,1.00322699800923,1,60,1.66788798216762,0.0166666666666667,0.999999999999998,23,37,0.0137700588127911,1.01386530274203,1
"ENSSSCG00000036844",59,3.51266188353128,0.0163934426229508,1,23,36,0.00418874749187291,1.00419753255652,1,59,1.23119547570767,0.0163934426229508,0.987656670064453,22,37,0.0199454176569656,1.02014565656694,1
"ENSSSCG00000037562",59,3.51266188353128,0.0163934426229508,1,37,22,0.00418874749187313,1.00419753255652,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,30,27,0.0196398435302477,1.01983397407229,1
"ENSSSCG00000038067",58,2.66511964082775,0.0161290322580645,0.989433228738773,24,34,0.00406471848718262,1.00407299065959,1,59,1.23119547570767,0.0163934426229508,0.987656670064454,22,37,0.0199454176569647,1.02014565656694,1
"ENSSSCG00000038768",59,3.51266188353128,0.0163934426229508,1,37,22,0.00418874749187254,1.00419753255652,1,60,1.66788798216762,0.0166666666666667,1,23,37,0.0137700588127915,1.01386530274203,1
"ENSSSCG00000038991",46,0.0734126984126984,0.0135135135135135,0.800783828398498,17,29,0.00317281694660454,1.00317785565786,1,60,1.66788798216762,0.0166666666666667,0.999999999999999,23,37,0.0137700588127913,1.01386530274203,1
"ENSSSCG00000040035",54,2.19524624121398,0.0151515151515152,0.924803000283466,31,23,0.0032218024255587,1.00322699800923,1,59,1.23119547570767,0.0163934426229508,0.987656670064454,22,37,0.019945417656966,1.02014565656694,1
"ENSSSCG00000040663",58,3.43028861164188,0.0161290322580645,0.982875017862159,23,35,0.00417546437951473,1.00418419377644,1,57,0.380463550230992,0.0158730158730159,0.963037252445387,28,29,0.0196398435302479,1.01983397407229,1
"ENSSSCG00000045348",58,2.66511964082775,0.0161290322580645,0.989433228738773,24,34,0.00406471848718085,1.00407299065959,1,56,0.343763213530655,0.015625,0.946640732083189,27,29,0.0196287442604004,1.01982265472262,1
"ENSSSCG00000050178",54,2.19524624121398,0.0151515151515152,0.924803000283465,31,23,0.00322180242555792,1.00322699800923,1,58,1.46108275036239,0.0161290322580645,0.968220107593385,36,22,0.013752745900096,1.01384774993251,1
"ENSSSCG00000050498",31,0,0.0112359550561798,0.536061184443386,15,16,0.00242178776378199,1.00242472266054,1,55,0.325581395348837,0.0153846153846154,0.929972730135129,26,29,0.0196200339057796,1.01981377174433,1
"ENSSSCG00000051187",54,2.19524624121398,0.0151515151515152,0.924803000283465,24,30,0.00322180242555792,1.00322699800923,1,59,1.55426456854421,0.0163934426229508,0.984251187631444,37,22,0.013762591435888,1.01385773185595,1
